Write outputs from the Runge-Kutta solution for each time step
time[s]	r[rad/s	v[m/s]
28843.5	-0.16421232618382078	16.806080916759004
28844.0	-0.16422044761549992	16.806889611621106
28844.5	-0.16422856940781735	16.807698342393913
28845.0	-0.1642366915607891	16.80850710907902
28845.5	-0.16424481407443117	16.809315911678024
28846.0	-0.1642529369487596	16.810124750192514
28846.5	-0.16426106018379039	16.81093362462409
28847.0	-0.16426918377953956	16.811742534974346
28847.5	-0.16427730773602311	16.812551481244878
28848.0	-0.1642854320532571	16.813360463437277
28848.5	-0.1642935567312575	16.81416948155314
28849.0	-0.16430168177004037	16.814978535594065
28849.5	-0.16430980716962174	16.815787625561644
28850.0	-0.16431793293001756	16.816596751457475
28850.5	-0.16432605905124395	16.81740591328315
28851.0	-0.16433418553331686	16.818215111040267
28851.5	-0.16434231237625235	16.81902434473042
28852.0	-0.1643504395800664	16.819833614355204
28852.5	-0.1643585671447751	16.820642919916217
28853.0	-0.16436669507039442	16.821452261415054
28853.5	-0.1643748233569404	16.822261638853313
28854.0	-0.1643829520044291	16.823071052232585
28854.5	-0.1643910810128765	16.82388050155447
28855.0	-0.16439921038229866	16.824689986820562
28855.5	-0.1644073401127116	16.82549950803246
28856.0	-0.1644154702041314	16.826309065191758
28856.5	-0.164423600656574	16.82711865830005
28857.0	-0.16443173147005546	16.827928287358937
28857.5	-0.16443986264459187	16.828737952370012
28858.0	-0.16444799418019918	16.829547653334874
28858.5	-0.16445612607689347	16.830357390255116
28859.0	-0.1644642583346908	16.83116716313234
28859.5	-0.16447239095360713	16.831976971968135
28860.0	-0.16448052393365856	16.832786816764106
28860.5	-0.16448865727486112	16.833596697521845
28861.0	-0.16449679097723083	16.83440661424295
28861.5	-0.1645049250407837	16.83521656692902
28862.0	-0.16451305946553585	16.836026555581647
28862.5	-0.16452119425150322	16.836836580202434
28863.0	-0.1645293293987019	16.837646640792972
28863.5	-0.16453746490714793	16.838456737354864
28864.0	-0.16454560077685737	16.839266869889705
28864.5	-0.16455373700784626	16.84007703839909
28865.0	-0.16456187360013058	16.840887242884623
28865.5	-0.16457001055372644	16.841697483347897
28866.0	-0.16457814786864988	16.842507759790507
28866.5	-0.16458628554491692	16.843318072214057
28867.0	-0.1645944235825436	16.84412842062014
28867.5	-0.164602561981546	16.844938805010354
28868.0	-0.16461070074194012	16.8457492253863
28868.5	-0.16461883986374207	16.84655968174957
28869.0	-0.1646269793469678	16.847370174101773
28869.5	-0.16463511919163348	16.8481807024445
28870.0	-0.1646432593977551	16.848991266779343
28870.5	-0.1646513999653487	16.84980186710791
28871.0	-0.16465954089443033	16.850612503431798
28871.5	-0.16466768218501607	16.8514231757526
28872.0	-0.16467582383712198	16.85223388407192
28872.5	-0.16468396585076409	16.853044628391356
28873.0	-0.16469210822595842	16.8538554087125
28873.5	-0.1647002509627211	16.85466622503696
28874.0	-0.16470839406106813	16.85547707736633
28874.5	-0.1647165375210156	16.85628796570221
28875.0	-0.16472468134257956	16.8570988900462
28875.5	-0.16473282552577606	16.857909850399896
28876.0	-0.16474097007062113	16.858720846764896
28876.5	-0.16474911497713088	16.859531879142803
28877.0	-0.16475726024532136	16.860342947535216
28877.5	-0.1647654058752086	16.861154051943732
28878.0	-0.1647735518668087	16.86196519236995
28878.5	-0.1647816982201377	16.86277636881547
28879.0	-0.16478984493521165	16.863587581281895
28879.5	-0.16479799201204662	16.86439882977082
28880.0	-0.16480613945065872	16.865210114283848
28880.5	-0.16481428725106395	16.866021434822574
28881.0	-0.1648224354132784	16.866832791388603
28881.5	-0.16483058393731817	16.86764418398353
28882.0	-0.16483873282319927	16.868455612608958
28882.5	-0.1648468820709378	16.869267077266485
28883.0	-0.16485503168054982	16.870078577957713
28883.5	-0.16486318165205138	16.870890114684244
28884.0	-0.1648713319854586	16.871701687447672
28884.5	-0.16487948268078756	16.872513296249604
28885.0	-0.16488763373805426	16.873324941091635
28885.5	-0.1648957851572748	16.874136621975367
28886.0	-0.16490393693846525	16.874948338902403
28886.5	-0.1649120890816417	16.87576009187434
28887.0	-0.16492024158682023	16.876571880892783
28887.5	-0.1649283944540169	16.87738370595933
28888.0	-0.1649365476832478	16.878195567075576
28888.5	-0.16494470127452898	16.87900746424313
28889.0	-0.16495285522787656	16.879819397463592
28889.5	-0.16496100954330659	16.88063136673856
28890.0	-0.1649691642208351	16.881443372069636
28890.5	-0.16497731926047826	16.88225541345842
28891.0	-0.16498547466225208	16.883067490906516
28891.5	-0.16499363042617265	16.883879604415522
28892.0	-0.1650017865522561	16.884691753987042
28892.5	-0.16500994304051847	16.885503939622676
28893.0	-0.16501809989097585	16.88631616132403
28893.5	-0.16502625710364435	16.887128419092697
28894.0	-0.16503441467854005	16.887940712930284
28894.5	-0.165042572615679	16.888753042838392
28895.0	-0.1650507309150773	16.889565408818623
28895.5	-0.165058889576751	16.89037781087258
28896.0	-0.16506704860071628	16.89119024900186
28896.5	-0.1650752079869892	16.89200272320807
28897.0	-0.16508336773558577	16.892815233492808
28897.5	-0.16509152784652212	16.893627779857677
28898.0	-0.16509968831981436	16.894440362304284
28898.5	-0.1651078491554786	16.895252980834226
28899.0	-0.1651160103535309	16.896065635449105
28899.5	-0.16512417191398734	16.896878326150528
28900.0	-0.16513233383686404	16.897691052940093
28900.5	-0.16514049612217707	16.898503815819407
28901.0	-0.16514865876994256	16.899316614790067
28901.5	-0.16515682178017654	16.90012944985368
28902.0	-0.16516498515289518	16.900942321011847
28902.5	-0.16517314888811457	16.901755228266172
28903.0	-0.16518131298585076	16.902568171618256
28903.5	-0.16518947744611986	16.903381151069702
28904.0	-0.16519764226893796	16.904194166622116
28904.5	-0.16520580745432123	16.905007218277095
28905.0	-0.16521397300228569	16.905820306036247
28905.5	-0.16522213891284745	16.906633429901177
28906.0	-0.16523030518602264	16.907446589873484
28906.5	-0.16523847182182735	16.908259785954773
28907.0	-0.16524663882027768	16.909073018146646
28907.5	-0.1652548061813897	16.90988628645071
28908.0	-0.16526297390517963	16.910699590868568
28908.5	-0.16527114199166346	16.91151293140182
28909.0	-0.16527931044085734	16.912326308052073
28909.5	-0.16528747925277737	16.91313972082093
28910.0	-0.16529564842743963	16.913953169709995
28910.5	-0.16530381796486027	16.91476665472087
28911.0	-0.1653119878650554	16.915580175855162
28911.5	-0.1653201581280411	16.91639373311447
28912.0	-0.16532832875383346	16.917207326500407
28912.5	-0.16533649974244868	16.91802095601457
28913.0	-0.16534467109390277	16.918834621658565
28913.5	-0.16535284280821191	16.919648323433996
28914.0	-0.16536101488539218	16.92046206134247
28914.5	-0.1653691873254597	16.92127583538559
28915.0	-0.16537736012843057	16.92208964556496
28915.5	-0.16538553329432096	16.922903491882185
28916.0	-0.16539370682314694	16.923717374338867
28916.5	-0.1654018807149246	16.924531292936617
28917.0	-0.16541005496967012	16.925345247677036
28917.5	-0.1654182295873996	16.926159238561727
28918.0	-0.16542640456812913	16.9269732655923
28918.5	-0.16543457991187485	16.927787328770354
28919.0	-0.16544275561865285	16.9286014280975
28919.5	-0.16545093168847932	16.92941556357534
28920.0	-0.1654591081213703	16.93022973520548
28920.5	-0.16546728491734197	16.931043942989525
28921.0	-0.16547546207641042	16.931858186929084
28921.5	-0.16548363959859183	16.932672467025757
28922.0	-0.16549181748390226	16.933486783281154
28922.5	-0.16549999573235785	16.934301135696877
28923.0	-0.16550817434397475	16.935115524274533
28923.5	-0.16551635331876904	16.93592994901573
28924.0	-0.1655245326567569	16.93674440992207
28924.5	-0.16553271235795441	16.93755890699516
28925.0	-0.1655408924223777	16.93837344023661
28925.5	-0.165549072850043	16.93918800964802
28926.0	-0.16555725364096632	16.940002615231002
28926.5	-0.16556543479516383	16.94081725698716
28927.0	-0.16557361631265166	16.9416319349181
28927.5	-0.16558179819344596	16.942446649025428
28928.0	-0.16558998043756287	16.94326139931075
28928.5	-0.16559816304501848	16.94407618577567
28929.0	-0.16560634601582894	16.944891008421802
28929.5	-0.1656145293500104	16.945705867250748
28930.0	-0.16562271304757897	16.946520762264115
28930.5	-0.16563089710855086	16.947335693463508
28931.0	-0.1656390815329421	16.948150660850537
28931.5	-0.16564726632076893	16.948965664426808
28932.0	-0.1656554514720474	16.949780704193927
28932.5	-0.1656636369867937	16.9505957801535
28933.0	-0.16567182286502394	16.951410892307134
28933.5	-0.16568000910675426	16.95222604065644
28934.0	-0.16568819571200083	16.953041225203027
28934.5	-0.16569638268077982	16.953856445948496
28935.0	-0.16570457001310732	16.95467170289446
28935.5	-0.16571275770899946	16.95548699604252
28936.0	-0.16572094576847243	16.956302325394287
28936.5	-0.16572913419154237	16.95711769095137
28937.0	-0.1657373229782254	16.957933092715376
28937.5	-0.16574551212853766	16.958748530687913
28938.0	-0.16575370164249534	16.95956400487059
28938.5	-0.16576189152011458	16.96037951526501
28939.0	-0.16577008176141153	16.961195061872786
28939.5	-0.1657782723664023	16.962010644695525
28940.0	-0.16578646333510305	16.962826263734833
28940.5	-0.16579465466752993	16.96364191899232
28941.0	-0.16580284636369916	16.964457610469594
28941.5	-0.1658110384236268	16.965273338168263
28942.0	-0.16581923084732905	16.966089102089935
28942.5	-0.16582742363482203	16.96690490223622
28943.0	-0.16583561678612194	16.967720738608726
28943.5	-0.16584381030124493	16.968536611209064
28944.0	-0.16585200418020712	16.96935252003884
28944.5	-0.16586019842302469	16.97016846509966
28945.0	-0.1658683930297138	16.97098444639314
28945.5	-0.1658765880002906	16.971800463920882
28946.0	-0.16588478333477125	16.9726165176845
28946.5	-0.16589297903317193	16.9734326076856
28947.0	-0.16590117509550875	16.97424873392579
28947.5	-0.1659093715217979	16.975064896406685
28948.0	-0.16591756831205556	16.97588109512989
28948.5	-0.1659257654662979	16.976697330097014
