Write outputs from the Runge-Kutta solution for each time step
time[s]	r[rad/s	v[m/s]
105.69	3.07585027382	0.479586546317
105.7	3.07921952204	0.480374493575
105.71	3.08258167828	0.481166557959
105.72	3.0859367116	0.481962731104
105.73	3.08928459115	0.482763004606
105.74	3.09262528611	0.483567370027
105.75	3.09595876579	0.484375818887
105.76	3.09928499952	0.485188342672
105.77	3.10260395675	0.486004932828
105.78	3.10591560698	0.486825580763
105.79	3.1092199198	0.487650277852
105.8	3.11251686485	0.488479015427
105.81	3.11580641189	0.489311784788
105.82	3.11908853071	0.490148577194
105.83	3.12236319121	0.490989383869
105.84	3.12563036336	0.491834196001
105.85	3.1288900172	0.492683004738
105.86	3.13214212284	0.493535801194
105.87	3.13538665049	0.494392576446
105.88	3.13862357042	0.495253321534
105.89	3.141852853	0.496118027461
105.9	3.14507446865	0.496986685195
105.91	3.14828838789	0.497859285667
105.92	3.15149458131	0.498735819773
105.93	3.15469301958	0.49961627837
105.94	3.15788367346	0.500500652282
105.95	3.16106651378	0.501388932296
105.96	3.16424151145	0.502281109163
105.97	3.16740863747	0.503177173599
105.98	3.1705678629	0.504077116284
105.99	3.17371915891	0.504980927863
106.0	3.17686249674	0.505888598945
106.01	3.17999784769	0.506800120104
106.02	3.18312518318	0.507715481878
106.03	3.18624447468	0.508634674771
106.04	3.18935569376	0.509557689253
106.05	3.19245881207	0.510484515756
106.06	3.19555380134	0.51141514468
106.07	3.19864063338	0.512349566388
106.08	3.20171928009	0.513287771211
106.09	3.20478971346	0.514229749444
106.1	3.20785190555	0.515175491348
106.11	3.21090582851	0.516124987148
106.12	3.21395145457	0.517078227038
106.13	3.21698875605	0.518035201175
106.14	3.22001770536	0.518995899683
106.15	3.22303827499	0.519960312654
106.16	3.22605043751	0.520928430142
106.17	3.22905416558	0.521900242172
106.18	3.23204943195	0.522875738732
106.19	3.23503620945	0.523854909777
106.2	3.238014471	0.524837745231
106.21	3.24098418962	0.525824234982
106.22	3.24394533838	0.526814368886
106.23	3.24689789047	0.527808136766
106.24	3.24984181917	0.528805528411
106.25	3.25277709782	0.529806533578
106.26	3.25570369987	0.530811141992
106.27	3.25862159885	0.531819343344
106.28	3.26153076838	0.532831127292
106.29	3.26443118217	0.533846483464
106.3	3.26732281402	0.534865401453
106.31	3.27020563781	0.535887870821
106.32	3.27307962753	0.536913881099
106.33	3.27594475723	0.537943421782
106.34	3.27880100107	0.538976482338
106.35	3.28164833331	0.540013052201
106.36	3.28448672826	0.541053120772
106.37	3.28731616037	0.542096677422
106.38	3.29013660414	0.54314371149
106.39	3.29294803419	0.544194212285
106.4	3.29575042522	0.545248169082
106.41	3.29854375201	0.546305571127
106.42	3.30132798946	0.547366407634
106.43	3.30410311252	0.548430667787
106.44	3.30686909628	0.549498340737
106.45	3.30962591589	0.550569415608
106.46	3.31237354659	0.551643881489
106.47	3.31511196375	0.552721727441
106.48	3.31784114278	0.553802942495
106.49	3.32056105923	0.554887515651
106.5	3.32327168871	0.555975435878
106.51	3.32597300694	0.557066692116
106.52	3.32866498974	0.558161273275
106.53	3.33134761301	0.559259168234
106.54	3.33402085275	0.560360365845
106.55	3.33668468506	0.561464854926
106.56	3.33933908612	0.56257262427
106.57	3.34198403221	0.563683662638
106.58	3.34461949972	0.564797958762
106.59	3.34724546512	0.565915501346
106.6	3.34986190497	0.567036279064
106.61	3.35246879596	0.568160280561
106.62	3.35506611483	0.569287494453
106.63	3.35765383844	0.570417909328
