Write outputs from the Runge-Kutta solution for each time step
time[s]	u[m/s]	v[m/s]	r[rad/s]
214.79999999999208	10.585930848387235	0.19003015771593462	-0.01850127805753719
214.89999999999208	10.58538913734512	0.18976678824293822	-0.018503136591283022
214.99999999999207	10.584847899820462	0.18950352986353894	-0.018504994141827637
215.09999999999206	10.584307135719953	0.18924038269204543	-0.018506850708624317
215.19999999999206	10.583766844949928	0.18897734684264816	-0.01850870629112744
215.29999999999205	10.583227027416363	0.1887144224294192	-0.018510560888792466
215.39999999999205	10.58268768302488	0.1884516095663119	-0.018512414501075946
215.49999999999204	10.58214881168074	0.1881889083671607	-0.018514267127435525
215.59999999999204	10.581610413288855	0.1879263189456808	-0.018516118767329937
215.69999999999203	10.581072487753774	0.18766384141546782	-0.01851796942021901
215.79999999999202	10.580535034979693	0.1874014758899977	-0.01851981908556367
215.89999999999202	10.57999805487045	0.1871392224826263	-0.018521667762825933
215.999999999992	10.579461547329528	0.18687708130658912	-0.01852351545146891
216.099999999992	10.578925512260055	0.18661505247500115	-0.01852536215095682
216.199999999992	10.578389949564801	0.18635313610085646	-0.018527207860754968
216.299999999992	10.577854859146186	0.186091332297028	-0.01852905258032976
216.399999999992	10.577320240906266	0.18582964117626738	-0.01853089630914871
216.49999999999199	10.576786094746748	0.18556806285120445	-0.01853273904668043
216.59999999999198	10.576252420568983	0.1853065974343472	-0.01853458079239463
216.69999999999197	10.575719218273965	0.18504524503808134	-0.01853642154576213
216.79999999999197	10.575186487762336	0.1847840057746702	-0.018538261306254848
216.89999999999196	10.57465422893438	0.18452287975625428	-0.01854010007334581
216.99999999999196	10.57412244169003	0.18426186709485112	-0.01854193784650915
217.09999999999195	10.57359112592886	0.18400096790235496	-0.018543774625220107
217.19999999999195	10.573060281550097	0.18374018229053649	-0.01854561040895503
217.29999999999194	10.572529908452607	0.18347951037104257	-0.01854744519719138
217.39999999999193	10.572000006534903	0.18321895225539603	-0.01854927898940772
217.49999999999193	10.571470575695148	0.18295850805499528	-0.018551111785083736
217.59999999999192	10.570941615831147	0.18269817788111417	-0.018552943583700215
217.69999999999192	10.570413126840355	0.18243796184490163	-0.018554774384739067
217.7999999999919	10.569885108619872	0.18217786005738146	-0.018556604187683307
217.8999999999919	10.569357561066443	0.18191787262945203	-0.018558432992017076
217.9999999999919	10.568830484076464	0.18165799967188603	-0.01856026079722562
218.0999999999919	10.568303877545976	0.18139824129533022	-0.01856208760279531
218.1999999999919	10.567777741370666	0.1811385976103051	-0.018563913408213638
218.29999999999188	10.56725207544587	0.18087906872720474	-0.018565738212969203
218.39999999999188	10.56672687966657	0.18061965475629646	-0.01856756201655173
218.49999999999187	10.566202153927398	0.18036035580772053	-0.018569384818452075
218.59999999999187	10.565677898122633	0.18010117199148998	-0.018571206618162202
218.69999999999186	10.565154112146201	0.17984210341749032	-0.018573027415175202
218.79999999999185	10.564630795891677	0.1795831501954792	-0.018574847208985296
218.89999999999185	10.564107949252284	0.17932431243508629	-0.018576665999087822
218.99999999999184	10.563585572120894	0.17906559024581284	-0.01857848378497925
219.09999999999184	10.563063664390029	0.17880698373703158	-0.018580300566157174
219.19999999999183	10.562542225951855	0.17854849301798636	-0.018582116342120314
219.29999999999183	10.562021256698193	0.17829011819779192	-0.018583931112368522
219.39999999999182	10.561500756520509	0.17803185938543362	-0.01858574487640278
219.49999999999181	10.560980725309921	0.17777371668976716	-0.0185875576337252
219.5999999999918	10.560461162957195	0.17751569021951835	-0.018589369383839018
219.6999999999918	10.559942069352745	0.17725778008328286	-0.018591180126248615
219.7999999999918	10.55942344438664	0.1769999863895259	-0.018592989860459496
219.8999999999918	10.558905287948594	0.17674230924658205	-0.018594798585978307
219.9999999999918	10.558387599927974	0.17648474876265488	-0.018596606302312822
220.09999999999178	10.557870380213796	0.17622730504581677	-0.01859841300897196
220.19999999999177	10.557353628694727	0.17596997820400867	-0.018600218705465767
220.29999999999177	10.556837345259085	0.1757127683450398	-0.018602023391305435
220.39999999999176	10.556321529794838	0.1754556755765873	-0.01860382706600329
220.49999999999176	10.555806182189606	0.17519870000619622	-0.0186056297290728
220.59999999999175	10.555291302330659	0.17494184174127902	-0.018607431380028575
220.69999999999175	10.55477689010492	0.17468510088911537	-0.01860923201838636
220.79999999999174	10.554262945398962	0.174428477556852	-0.018611031643663054
220.89999999999173	10.553749468099012	0.1741719718515023	-0.01861283025537669
220.99999999999173	10.553236458090947	0.17391558387994616	-0.018614627853046444
221.09999999999172	10.552723915260296	0.17365931374892965	-0.018616424436192644
221.19999999999172	10.552211839492244	0.17340316156506483	-0.01861822000433676
221.2999999999917	10.551700230671623	0.17314712743482943	-0.01862001455700141
221.3999999999917	10.55118908868292	0.17289121146456662	-0.01862180809371036
221.4999999999917	10.550678413410276	0.17263541376048475	-0.01862360061398852
221.5999999999917	10.550168204737485	0.1723797344286571	-0.01862539211736196
221.6999999999917	10.549658462547994	0.1721241735750216	-0.018627182603357894
221.79999999999168	10.5491491867249	0.17186873130538066	-0.01862897207150468
221.89999999999168	10.54864037715096	0.17161340772540076	-0.018630760521331842
221.99999999999167	10.548132033708578	0.17135820294061235	-0.018632547952370047
222.09999999999167	10.547624156279818	0.17110311705640954	-0.018634334364151118
222.19999999999166	10.547116744746395	0.17084815017804977	-0.018636119756208037
222.29999999999166	10.546609798989678	0.1705933024106537	-0.018637904128074936
222.39999999999165	10.546103318890692	0.17033857385920487	-0.018639687479287105
222.49999999999164	10.545597304330117	0.17008396462854938	-0.018641469809380994
222.59999999999164	10.545091755188286	0.16982947482339583	-0.018643251117894204
222.69999999999163	10.54458667134519	0.16957510454831487	-0.018645031404365506
222.79999999999163	10.544082052680473	0.16932085390773904	-0.01864681066833482
222.89999999999162	10.543577899073437	0.16906672300596257	-0.018648588909343233
222.99999999999162	10.543074210403036	0.168812711947141	-0.01865036612693299
223.0999999999916	10.542570986547885	0.16855882083529106	-0.0186521423206475
223.1999999999916	10.542068227386249	0.1683050497742903	-0.018653917490031337
223.2999999999916	10.541565932796056	0.16805139886787696	-0.018655691634630232
223.3999999999916	10.541064102654886	0.16779786821964957	-0.018657464753991083
223.4999999999916	10.540562736839977	0.16754445793306685	-0.01865923684766196
223.59999999999158	10.540061835228224	0.1672911681114474	-0.018661007915192096
223.69999999999158	10.53956139769618	0.1670379988579694	-0.018662777956131884
223.79999999999157	10.539061424120057	0.1667849502756705	-0.018664546970032895
223.89999999999156	10.538561914375718	0.1665320224674474	-0.01866631495644786
223.99999999999156	10.538062868338692	0.16627921553605568	-0.01866808191493069
224.09999999999155	10.53756428588416	0.16602652958410966	-0.018669847845036454
224.19999999999155	10.537066166886964	0.16577396471408193	-0.0186716127463214
224.29999999999154	10.536568511221605	0.16552152102830328	-0.018673376618342948
224.39999999999154	10.53607131876224	0.1652691986289624	-0.018675139460659688
224.49999999999153	10.535574589382687	0.16501699761810557	-0.01867690127283138
224.59999999999152	10.535078322956425	0.16476491809763655	-0.018678662054418968
224.69999999999152	10.534582519356587	0.16451296016931624	-0.01868042180498456
224.7999999999915	10.53408717845597	0.16426112393476244	-0.01868218052409145
224.8999999999915	10.533592300127028	0.16400940949544962	-0.0186839382113041
224.9999999999915	10.533097884241878	0.1637578169527087	-0.01868569486618815
225.0999999999915	10.532603930672295	0.1635063464077267	-0.018687450488310425
225.1999999999915	10.532110439289713	0.1632549979615467	-0.018689205077238924
225.29999999999148	10.53161740996523	0.16300377171506736	-0.018690958632542824
225.39999999999148	10.531124842569604	0.16275266776904285	-0.018692711153792486
225.49999999999147	10.530632736973251	0.16250168622408254	-0.018694462640559448
225.59999999999147	10.530141093046254	0.16225082718065076	-0.018696213092416435
225.69999999999146	10.529649910658351	0.16200009073906654	-0.01869796250893735
225.79999999999146	10.529159189678948	0.16174947699950346	-0.01869971088969728
225.89999999999145	10.528668929977107	0.16149898606198926	-0.018701458234272498
225.99999999999145	10.528179131421556	0.16124861802640572	-0.018703204542240462
226.09999999999144	10.527689793880684	0.16099837299248837	-0.018704949813179814
226.19999999999143	10.527200917222546	0.16074825105982626	-0.018706694046670382
226.29999999999143	10.526712501314854	0.16049825232786175	-0.018708437242293183
226.39999999999142	10.526224546024988	0.1602483768958902	-0.018710179399630416
226.49999999999142	10.525737051219988	0.1599986248630598	-0.018711920518265476
226.5999999999914	10.525250016766561	0.15974899632837128	-0.01871366059778294
226.6999999999914	10.524763442531075	0.1594994913906777	-0.018715399637768585
226.7999999999914	10.524277328379563	0.15925011014868423	-0.018717137637809366
226.8999999999914	10.523791674177723	0.15900085270094785	-0.018718874597493433
226.9999999999914	10.523306479790914	0.15875171914587718	-0.018720610516410136
227.09999999999138	10.522821745084167	0.1585027095817322	-0.018722345394150006
227.19999999999138	10.52233746992217	0.15825382410662406	-0.018724079230304776
227.29999999999137	10.521853654169282	0.15800506281851479	-0.01872581202446737
227.39999999999137	10.521370297689524	0.15775642581521707	-0.018727543776231908
227.49999999999136	10.520887400346584	0.15750791319439406	-0.0187292744851937
227.59999999999135	10.520404962003818	0.15725952505355906	-0.018731004150949256
227.69999999999135	10.519922982524244	0.1570112614900754	-0.018732732773096287
227.79999999999134	10.51944146177055	0.1567631226011561	-0.018734460351233693
227.89999999999134	10.518960399605088	0.15651510848386369	-0.018736186884961578
227.99999999999133	10.51847979588988	0.15626721923510994	-0.018737912373881244
228.09999999999133	10.517999650486612	0.1560194549516557	-0.01873963681759519
228.19999999999132	10.517519963256639	0.15577181573011056	-0.018741360215707114
228.29999999999131	10.517040734060984	0.15552430166693273	-0.01874308256782192
228.3999999999913	10.516561962760338	0.1552769128584287	-0.01874480387354571
228.4999999999913	10.51608364921506	0.15502964940075314	-0.018746524132485787
228.5999999999913	10.515605793285177	0.1547825113899085	-0.01874824334425066
228.6999999999913	10.515128394830384	0.15453549892174495	-0.01874996150845004
228.7999999999913	10.514651453710046	0.15428861209196004	-0.018751678624694842
228.89999999999128	10.514174969783197	0.15404185099609852	-0.018753394692597184
228.99999999999127	10.51369894290854	0.15379521572955204	-0.018755109711770388
229.09999999999127	10.513223372944449	0.15354870638755908	-0.018756823681828988
229.19999999999126	10.512748259748966	0.1533023230652045	-0.01875853660238872
229.29999999999126	10.512273603179805	0.15305606585741952	-0.01876024847306653
229.39999999999125	10.511799403094349	0.15280993485898137	-0.018761959293480564
229.49999999999125	10.511325659349653	0.15256393016451308	-0.018763669063250187
229.59999999999124	10.510852371802443	0.1523180518684833	-0.018765377781995964
229.69999999999123	10.510379540309115	0.152072300065206	-0.01876708544933968
229.79999999999123	10.509907164725737	0.15182667484884035	-0.018768792064904317
229.89999999999122	10.509435244908051	0.15158117631339035	-0.01877049762831408
229.99999999999122	10.508963780711467	0.15133580455270476	-0.018772202139194376
230.0999999999912	10.508492771991069	0.15109055966047677	-0.018773905597171833
230.1999999999912	10.508022218601615	0.1508454417302438	-0.018775608001874285
230.2999999999912	10.507552120397536	0.1506004508553873	-0.018777309352930777
230.3999999999912	10.507082477232933	0.15035558712913255	-0.018779009649971576
230.4999999999912	10.506613288961582	0.1501108506445483	-0.01878070889262816
230.59999999999118	10.506144555436933	0.1498662414945467	-0.018782407080533216
230.69999999999118	10.50567627651211	0.14962175977188305	-0.01878410421332066
230.79999999999117	10.505208452039911	0.14937740556915552	-0.01878580029062561
230.89999999999117	10.504741081872808	0.14913317897880496	-0.018787495312084405
230.99999999999116	10.504274165862949	0.1488890800931147	-0.018789189277334608
231.09999999999116	10.503807703862154	0.14864510900421027	-0.018790882186014993
231.19999999999115	10.503341695721923	0.1484012658040593	-0.018792574037765554
231.29999999999114	10.502876141293429	0.14815755058447114	-0.018794264832227504
231.39999999999114	10.502411040427518	0.14791396343709676	-0.018795954569043274
231.49999999999113	10.501946392974716	0.1476705044534285	-0.01879764324785652
231.59999999999113	10.501482198785226	0.14742717372479983	-0.01879933086831211
231.69999999999112	10.501018457708923	0.14718397134238514	-0.018801017430056143
